No.,Time,Source,Destination,Protocol,Length,Info,Clasificacion_MLP,Clasificacion_RF,Confianza_MLP,Confianza_RF
3856,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4601883 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3857,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4603343 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3858,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4604803 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3859,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4606263 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3860,6.982786,2.19.172.145,10.157.66.26,TCP,1514,"443  >  50089 [PSH, ACK] Seq=4607723 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874]",Normal,Normal,100.0%,100.0%
3861,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4609183 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3862,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4610643 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3863,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4612103 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3864,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4613563 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3865,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4615023 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3866,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4616483 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3867,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4617943 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3868,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4619403 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3869,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4620863 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3870,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4622323 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
